names;Value;Units;Description
n_CX;1;_;C_in_food
n_HX;1.8;_;H_in_food
n_OX;0.5;_;O_in_food
n_NX;0.15;_;N_in_food
n_CV;1;_;C_in_structure
n_HV;1.8;_;H_in_structure
n_OV;0.5;_;O_in_structure
n_NV;0.15;_;N_in_structure
n_CE;1;_;C_in_energy_reserves
n_HE;1.8;_;H_in_energy_reserves
n_OE;0.5;_;O_in_energy_reserves
n_NE;0.15;_;N_in_energy_reserves
n_CP;1;_;C_in_faeces
n_HP;1.8;_;H_in_faeces
n_OP;0.5;_;O_in_faeces
n_NP;0.15;_;N_in_faeces
n_CC;1;_;C_in_CO2
n_HC;0;_;H_in_CO2
n_OC;2;_;O_in_CO2
n_NC;0;_;N_in_CO2
n_CH;0;_;C_in_H2O
n_HH;2;_;H_in_H2O
n_OH;1;_;O_in_H2O
n_NH;0;_;N_in_H2O
n_CO;0;_;C_in_O2
n_HO;0;_;H_in_O2
n_OO;2;_;O_in_O2
n_NO;0;_;N_in_O2
n_CN;0;_;C_in_NH3
n_HN;3;_;H_in_NH3
n_ON;0;_;O_in_NH3
n_NN;1;_;N_in_NH3
