names;Value;Units;Description
T_ref;293.15;K;Temperature_for_which_parameters_are_given
z;1.3612;n/a;zoom_factor_Lm
F_m;100;Cmol_d.cm2;maximum_search_rate
kap_X;0.7;n/a;digestion_efficiency_of_food_to_reserves
kap_P;0.15;n/a;defacation_efficiency
v;0.0308;cm_d;energy_conductance
kap;0.6287;n/a;allocation_fraction_to_soma
kap_R;0.95;n/a;reproduction_efficiency
p_M;29.2341;J_d.cm3;vol-specific_somatic_maintenance
p_T;0;J_d.cm2;surface-specific_somatic_maintenance
k_J;0.002;1_d;maturity_maintenance_rate_coefficien
E_G;2326;J_cm3;specific_cost_for_structure
E_Hb;3.49E-04;J;Maturity_at_birth
E_Hj;1.21E-02;J;Maturity_at_metamorphosis
E_Hp;5.62E+01;J;Maturity_at_puberty
h_a;4.28E-09;1_d2;Weibull_aging_acceleration
s_G;1.00E-04;n/a;Gompertz_stress_coefficient
T_A;7773;K;Arrhenius_Temperature
del_M;0.2582;n/a;shape_coefficient
del_lrv;6.47E-01;n/a;shape_coefficient_for_larvae
f_lrv;1.23E-01;n/a;maximum_scaled_functional_response_for_larvae
CR_m;2.64E+01;l/d.cm2;surface-specific_maximum_clearance_rate_for_adult
Xk;1.03E+00;J/l;half saturation for POC for adult
CR_m_lrv;3.12E+00;l/d.cm2;surface-specific_maximum_clearance_rate_for_larvae
Xk_lrv;5.88E-01;J/l;half saturation for POC for larvae
rho_POC;1.56E+05;J/g;energy mass coupler for POC as food item.
d_X;0.09;gDW_cm3;food_specific_density
d_V;0.09;gDW_cm3;structure_specific_density
d_E;0.09;gDW_cm3;energy_reserves_specify_density
d_P;0.09;gDW_cm3;faeces_specific_density
mu_X;525000;J_mol;food_chemical_potential
mu_V;5.00E+05;J_mol;structure_chemical_potential
mu_E;550000;J_mol;energy_reserves_chemical_potential
mu_P;480000;J_mol;faeces_chemical_potential
